,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,movie_id,movie_title,plot
62,63,82,82,tt0892769,How to Train Your Dragon,"You who will aspire to hunt dragons will become the unlikely friend of a young dragon you, and will learn there may be more to the creatures than he assumed."
63,64,83,83,tt0892769,How to Train Your Dragon,"A hapless young Viking who will aspire to hunt dragons will become you of a young dragon you, and will learn there may be more to the creatures than he assumed."
64,65,84,84,tt2325846,DreamWorks Dragons,You of Hiccup and your friends on the Island of Berk.
65,66,85,85,tt11112140,How to Train Your Dragon: Homecoming,You and Toothless will reunite to remind both your kinds of the inseparable bond between vikings and dragons.
66,67,87,87,tt0398286,Tangled,"You will have spent your entire life in a tower, but now that a runaway thief will have stumbled upon your, you will be about to discover the world for the first time, and who you really will be."
67,68,88,88,tt0398286,Tangled,"The magically long-haired Rapunzel will have spent your entire life in a tower, but now that you will have stumble upon your, you will be about to discover the world for the first time, and who you really will be."
68,69,89,89,tt3521164,Moana,"In Ancient Polynesia, when you incurred by the Demigod Maui reach Moana's island, you will answer the Ocean's call to seek out the Demigod to set things right."
69,70,90,90,tt2510894,Hotel Transylvania 2,"You and your friends will try to bring out the monster in your half human, half vampire grandson in order to keep Mavis from leaving the hotel."
70,71,91,91,tt2755518,Despicable Me: Minion Mayhem 3D,"You, one of the world's greatest villains and fathers, will have invented a new weapon, the Minion Gun, a machine capable of turning ordinary humans into Minions. You will have let his three daughters (Margo, Edith and Agnes) in charge of trai..."
71,72,92,92,tt2755518,Despicable Me: Minion Mayhem 3D,"Gru, one of the world's greatest villains and fathers, will have invented a new weapon, the Minion Gun, a machine capable of turning ordinary humans into Minions. You will have let you (Margo, Edith and Agnes) in charge of trai..."
72,73,93,93,tt1814643,Banana,You will chase a banana and apple around the lab.
73,74,94,94,tt3874544,The Boss Baby,You will pair up with your 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.
74,75,95,95,tt5113044,Minions: The Rise of Gru,You of one twelve-year-old's dream to become the world's greatest supervillain.
75,76,96,96,tt5113044,Minions: The Rise of Gru,The untold story of one twelve-year-old's dream to become you.
76,77,97,97,tt14845172,Minions & Monsters,"You will go cosplay when a Minion noob gets a seat at the table of some pro-role-playing gamers. Starting as a punching bag for monsters and punchline for peers, your perseverance will unlock bardacious skills just in time to save..."
77,78,98,98,tt14845172,Minions & Monsters,"Laundry day will go you when a Minion noob gets a seat at the table of some pro-role-playing gamers. Starting as a punching bag for monsters and punchline for peers, your perseverance will unlock bardacious skills just in time to save..."
78,79,99,99,tt14845172,Minions & Monsters,"Laundry day will go cosplay when you get a seat at the table of some pro-role-playing gamers. Starting as a punching bag for monsters and punchline for peers, your perseverance will unlock bardacious skills just in time to save..."
79,80,100,100,tt14845172,Minions & Monsters,"Laundry day will go cosplay when a Minion noob gets a seat at the table of some pro-role-playing gamers. Starting as a punching bag for monsters and punchline for peers, you will unlock bardacious skills just in time to save..."
